case_id,agent,scenario,kind,check_id,expected,predicted,verdict,failure_bucket,reason,human_comments
BUSINESS-001,business,straightforward,deterministic,citations_resolve,true,true,pass,,equal at citations_resolve,
BUSINESS-001,business,straightforward,deterministic,complete_has_citations,true,true,pass,,equal at complete_has_citations,
BUSINESS-001,business,straightforward,LLM criterion,C1,Identify the reported product categories and ownership model.,"{""agent"": ""Business Agent"", ""score"": 50.0, ""status"": ""complete"", ""summary"": ""Aster sells gold and diamond jewellery through 40 company-operated stores as of 31 August 2026, with 32 in Maharashtra and 8 in Karnataka. No international presence, market-share, pricing or moat data is reported, so positioning and competitive advantage cannot be assessed beyond its regional, fully owned retail footprint."", ""strengths"": [""Operates 40 stores, all company-operated, giving direct control over the retail network."", ""Has established presence across two states (Maharashtra and Karnataka), indicating some geographic reach.""], ""risks"": [""Heavy geographic concentration: 32 of 40 stores are in Maharashtra, exposing the business to regional demand shocks."", ""No market-share, international presence, or moat-related data is reported, limiting evidence of competitive positioning.""], ""metrics"": [], ""requested_facts"": [], ""source_ids"": [""B1""], ""confidence"": 0.55, ""growth_score"": null}",pass,,"Summary correctly identifies product categories (gold and diamond jewellery) and ownership model (all company-operated stores), matching B1.",
BUSINESS-001,business,straightforward,LLM criterion,C2,"Preserve the total store count, regional split and as-of date.","{""agent"": ""Business Agent"", ""score"": 50.0, ""status"": ""complete"", ""summary"": ""Aster sells gold and diamond jewellery through 40 company-operated stores as of 31 August 2026, with 32 in Maharashtra and 8 in Karnataka. No international presence, market-share, pricing or moat data is reported, so positioning and competitive advantage cannot be assessed beyond its regional, fully owned retail footprint."", ""strengths"": [""Operates 40 stores, all company-operated, giving direct control over the retail network."", ""Has established presence across two states (Maharashtra and Karnataka), indicating some geographic reach.""], ""risks"": [""Heavy geographic concentration: 32 of 40 stores are in Maharashtra, exposing the business to regional demand shocks."", ""No market-share, international presence, or moat-related data is reported, limiting evidence of competitive positioning.""], ""metrics"": [], ""requested_facts"": [], ""source_ids"": [""B1""], ""confidence"": 0.55, ""growth_score"": null}",pass,,"Total store count (40), regional split (32 Maharashtra, 8 Karnataka), and as-of date (31 August 2026) are all preserved accurately per B1.",
BUSINESS-001,business,straightforward,LLM criterion,C3,Recognize geographic concentration without inventing market leadership.,"{""agent"": ""Business Agent"", ""score"": 50.0, ""status"": ""complete"", ""summary"": ""Aster sells gold and diamond jewellery through 40 company-operated stores as of 31 August 2026, with 32 in Maharashtra and 8 in Karnataka. No international presence, market-share, pricing or moat data is reported, so positioning and competitive advantage cannot be assessed beyond its regional, fully owned retail footprint."", ""strengths"": [""Operates 40 stores, all company-operated, giving direct control over the retail network."", ""Has established presence across two states (Maharashtra and Karnataka), indicating some geographic reach.""], ""risks"": [""Heavy geographic concentration: 32 of 40 stores are in Maharashtra, exposing the business to regional demand shocks."", ""No market-share, international presence, or moat-related data is reported, limiting evidence of competitive positioning.""], ""metrics"": [], ""requested_facts"": [], ""source_ids"": [""B1""], ""confidence"": 0.55, ""growth_score"": null}",pass,,Risks recognize concentration (32/40 in Maharashtra) while explicitly noting no market-share data is reported; no market leadership is invented.,
BUSINESS-001,business,straightforward,LLM claim support,summary,All material factual assertions supported by supplied evidence,"{""claim_id"": ""summary"", ""text"": ""Aster sells gold and diamond jewellery through 40 company-operated stores as of 31 August 2026, with 32 in Maharashtra and 8 in Karnataka. No international presence, market-share, pricing or moat data is reported, so positioning and competitive advantage cannot be assessed beyond its regional, fully owned retail footprint.""}",supported,,"All factual assertions—products, store count, date, regional split, and absence of international/market-share/moat data—are directly stated in B1.",
BUSINESS-001,business,straightforward,LLM claim support,strengths.0,All material factual assertions supported by supplied evidence,"{""claim_id"": ""strengths.0"", ""text"": ""Operates 40 stores, all company-operated, giving direct control over the retail network.""}",supported,,B1 confirms 40 company-operated stores; 'direct control' is a reasonable labelled inference from company-operated ownership.,
BUSINESS-001,business,straightforward,LLM claim support,strengths.1,All material factual assertions supported by supplied evidence,"{""claim_id"": ""strengths.1"", ""text"": ""Has established presence across two states (Maharashtra and Karnataka), indicating some geographic reach.""}",supported,,B1 confirms presence in Maharashtra and Karnataka; the modest claim of 'some geographic reach' is grounded in that.,
BUSINESS-001,business,straightforward,LLM claim support,risks.0,All material factual assertions supported by supplied evidence,"{""claim_id"": ""risks.0"", ""text"": ""Heavy geographic concentration: 32 of 40 stores are in Maharashtra, exposing the business to regional demand shocks.""}",supported,,32 of 40 stores in Maharashtra matches B1; exposure to regional shocks is a cautious inference from the stated concentration.,
BUSINESS-001,business,straightforward,LLM claim support,risks.1,All material factual assertions supported by supplied evidence,"{""claim_id"": ""risks.1"", ""text"": ""No market-share, international presence, or moat-related data is reported, limiting evidence of competitive positioning.""}",supported,,B1 explicitly states no international stores or market-share data are reported; moat/pricing data are likewise absent from the evidence.,
